Client,Project,Project Code,Currency,Project Status,Total Hours
NIKOLSKAYA,Подготовка правового заключения,,USD,,
NORINCO,Legal Memo,,USD,,
NORTON ROSE FULBRIGHT LLP,ACWA IFC EBL,,USD,,
NORTON ROSE FULBRIGHT LLP,Cross-border marketing advice for BlackRock,,USD,,
NORTON ROSE FULBRIGHT LLP,District Heating,,USD,,
NORTON ROSE FULBRIGHT LLP,JQ for Fuyo,,USD,,
NORTON ROSE FULBRIGHT LLP,Samarkand Air - Aircraft Leasing,,USD,,
NORTON ROSE FULBRIGHT LLP,Santander Bank - AGMK Financing,,USD,,
NORTON ROSE FULBRIGHT LLP,UzAuto Motors - Loan Agreement Amendment,,USD,,
NORTON ROSE FULBRIGHT LLP,UzAutoMotors Financing,,USD,,
NORTON ROSE FULBRIGHT LLP,Uzbektelecom Financing,,USD,,
Novaya Energiya,Сопровождение сделки (этап 2),,EUR,,
Novaya Energiya,Юридический аудит,,EUR,,
NRG UZB,NRG - Chirchik 400,KL-YL-45,UZS,,
NRG UZB,NRG - GOLDEN HOUSE,,UZS,,
Nur Bukhara Solar,"Land return, cadaster and mortgage",NBS-10,UZS,,
Nur Bukhara Solar,Legal Services,,UZS,,
Nur Bukhara Solar,PIF Transfer,NBS-10,UZS,,
Nur Jizzakh Solar,"Land return, cadaster and mortgage",NJS-04,UZS,,
Nur Jizzakh Solar,Legal services,,UZS,,
Nur Jizzakh Solar,PIF Transfer,NJS-04,UZS,,
Nur Kashkadarya Solar,General legal services,,USD,,
Nur Navoi Solar,Legal services,,UZS,,
Nur Samarkand Solar,"Land return, cadaster and mortgage",NSS-05,UZS,,
Nur Samarkand Solar,Legal services,,UZS,,
Nur Samarkand Solar,PIF Transfer,NSS-05,UZS,,
Nur Samarkand Solar,Private protest,,UZS,,
Nur Sherabad Solar,"Land return, cadaster and mortgage",NShS-06,UZS,,
Nur Sherabad Solar,Legal services,,UZS,,
Nur Sherabad Solar,PIF Transfer,NShS-06,UZS,,
Obuda University,Legal Support on Technopark Development,,EUR,,
Obuda University,Report on Technopark Development,,EUR,,
Obuda University,Создание JV OBUDA,,EUR,,
Obuda University,Создание ООО INITIUM,,EUR,,
ODDO BHF,Issuing LO,,USD,,
OLPHA,Расторжение трудового договора,,EUR,,
Oppenhoff & Partner,Siemens AG,,USD,,
OPTIMA (RUS),debts coollection,,USD,,
ORION,Передача IP прав в СП,,USD,,
Orkin Systems,Franchise agreement,,USD,,
Otabek Karimov,IKAT-BARAKAT,,EUR,,
OTP Bank,Ferghana Oil Refinary Plant. Financing.,,USD,,
Pakistan Intermodal Logistics,LLC Establishment,KL-INT-24,USD,,
Papa John's,Franchise Agreement,,USD,,
PDLegal LLC,Legal Opinion,,USD,,
PHILIP MORRIS,General Legal Support,,UZS,,
PILOT,Distribution Agreement,,USD,,
PILOT Corporation,Distributorship Agreement,,USD,,
Polydist,Drafting the letter,,USD,,
Polydist,Letter from UzKOR,,USD,,
Polydist,Registration with UZeX,,USD,,
PRAETICA,ARBOR (BELGIUM),,EUR,,
Production Solutions,Regular legal services,,USD,,
Project HOPE,Branch Office,,USD,,
PwC,договор с таможенным складом,,USD,,
QuidelOrtho,Medicine Registration,,USD,,
Raiffeisen Bank International,Advising on a loan transaction with Business Development Bank,,USD,,
REB_ZUMK (RUS),REB_ZUMK 1.2.,,EUR,,
REB_ZUMK (RUS),REB_ZUMK 2.1_Признание задолженности отсутствующей,,EUR,,
REB_ZUMK (RUS),REB_ZUMK 3.1_Обжалование определения о назначении экспертизы по делу № 15 (признание права собственности),,EUR,,
REB_ZUMK (RUS),REB_ZUMK 3.1_Обжалование определения о приостановлении производства по делу №21,,EUR,,
REB_ZUMK (RUS),REB_ZUMK 3.1_Обжалование определения об отказе в возобновлении производства по делу № 21,,EUR,,
REB_ZUMK (RUS),REB_ZUMK 3.1_Признание права собственности,,EUR,,
